core.externalId,core.name,core.description,Asset Type,HierarchicalPath,Created On,Created By,Modified On,Modified By,Identity,core.location,core.origin
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/LASTNAME~com.infa.odin.models.relational.Column,LASTNAME,,com.infa.odin.models.relational.Column,Ora_test/xe/DEMO/IOB_CUSTOMERS/LASTNAME,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,03e85a36-86f1-4c67-9f2a-182843efd0f3,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/LASTNAME,7f194812-5426-3b18-9c97-315f6b4d7dc1
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO~com.infa.odin.models.relational.Schema,DEMO,,com.infa.odin.models.relational.Schema,Ora_test/xe/DEMO,"Dec 05, 2024, 07:45:20 AM",manoj_GE,"Dec 05, 2024, 07:45:20 AM",manoj_GE,0c753b11-5f59-4350-ab47-ff21c1add266,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO,7f194812-5426-3b18-9c97-315f6b4d7dc1
BT-306,Asset Type,Classification of the asset based on its nature,com.infa.ccgf.models.governance.BusinessTerm,Asset/Asset Type,"Apr 23, 2025, 11:42:10 PM",manoj_GE,"May 05, 2025, 05:35:34 PM",Arjun_Dev,1bd26c34-4d21-4f8d-96c0-ac9b21869ba2,CDGC://c602bee1-ee44-4871-a74f-1dab25c23229/1bd26c34-4d21-4f8d-96c0-ac9b21869ba2,CDGC
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe~com.infa.odin.models.relational.Database,xe,,com.infa.odin.models.relational.Database,Ora_test/xe,"Dec 05, 2024, 07:45:36 AM",manoj_GE,"Dec 05, 2024, 07:45:36 AM",manoj_GE,4f83fe74-a080-429e-b735-5096c8805c91,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe,7f194812-5426-3b18-9c97-315f6b4d7dc1
SYS-9,ORACLE,,com.infa.ccgf.models.governance.System,ORACLE,"Dec 07, 2024, 03:51:08 AM",manoj_GE,"Dec 07, 2024, 03:51:08 AM",manoj_GE,6760a609-a6cc-42e3-9929-76bfc8caf109,CDGC://6760a609-a6cc-42e3-9929-76bfc8caf109,CDGC
4bfce055-a12d-3ec2-a0a1-a49dbffc2224://FileServer/C:/Project_GE~com.infa.odin.models.file.Folder,Project_GE,,com.infa.odin.models.file.Folder,S3_AI_Factory_CIA/File Server/C:/Project_GE,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,"Jun 10, 2025, 02:06:43 AM",Manoj_Dev,6a333835-3bd8-4900-afb0-e45650af387b,4bfce055-a12d-3ec2-a0a1-a49dbffc2224://4bfce055-a12d-3ec2-a0a1-a49dbffc2224/File Server/C:/Project_GE,4bfce055-a12d-3ec2-a0a1-a49dbffc2224
BT-268,Customer Id,Unique identifier assigned to a customer,com.infa.ccgf.models.governance.BusinessTerm,Customer/Customer Id,"Apr 17, 2025, 07:57:09 PM",manoj_GE,"May 01, 2025, 03:12:09 PM",manoj_GE,7ef28a6a-c4cf-4cc5-b6ac-609d7fe8fe9f,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/7ef28a6a-c4cf-4cc5-b6ac-609d7fe8fe9f,CDGC
BT-326,Customer Name,Full legal name of the customer (individual or organization).,com.infa.ccgf.models.governance.BusinessTerm,Customer/Customer Name,"Apr 23, 2025, 11:42:10 PM",manoj_GE,"May 01, 2025, 03:28:38 PM",manoj_GE,95cdff3d-8160-4b21-828f-059fa4c9b110,CDGC://0de78700-07cd-47e0-a71a-65c3a24da16e/95cdff3d-8160-4b21-828f-059fa4c9b110,CDGC
7f194812-5426-3b18-9c97-315f6b4d7dc1://xe/DEMO/IOB_CUSTOMERS/PrimaryKey_SYS_C00104459~com.infa.odin.models.relational.PrimaryKey,SYS_C00104459,,com.infa.odin.models.relational.PrimaryKey,Ora_test/xe/DEMO/IOB_CUSTOMERS/SYS_C00104459,"Dec 05, 2024, 07:45:19 AM",manoj_GE,"Dec 05, 2024, 07:45:19 AM",manoj_GE,9db79597-d558-4f11-8bd3-e5ac5b2dce3f,7f194812-5426-3b18-9c97-315f6b4d7dc1://7f194812-5426-3b18-9c97-315f6b4d7dc1/xe/DEMO/IOB_CUSTOMERS/SYS_C00104459,7f194812-5426-3b18-9c97-315f6b4d7dc1
BT-349,Supplier Onboarding Date,Date when the supplier was officially registered or approved,com.infa.ccgf.models.governance.BusinessTerm,Supplier/Supplier Onboarding Date,"May 01, 2025, 02:53:19 PM",manoj_GE,"May 05, 2025, 05:33:48 PM",Arjun_Dev,c3972518-6b13-4dbd-8363-7bbdd32671f7,CDGC://11a09104-7489-402e-895d-53ed6a3abd97/c3972518-6b13-4dbd-8363-7bbdd32671f7,CDGC
